Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311.0,Avocados,2017,2017,ha,16460.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1311.0,Avocados,2017,2017,kg/ha,13225.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,1311.0,Avocados,2017,2017,t,217688.11,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311.0,Avocados,2018,2018,ha,14497.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1311.0,Avocados,2018,2018,kg/ha,16136.6,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,1311.0,Avocados,2018,2018,t,233932.56,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311.0,Avocados,2019,2019,ha,20125.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1311.0,Avocados,2019,2019,kg/ha,13119.4,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,1311.0,Avocados,2019,2019,t,264031.53,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311.0,Avocados,2021,2021,ha,25919.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1311.0,Avocados,2021,2021,kg/ha,16081.3,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,1311.0,Avocados,2021,2021,t,416802.72,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311.0,Avocados,2022,2022,ha,25669.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1311.0,Avocados,2022,2022,kg/ha,17203.6,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,1311.0,Avocados,2022,2022,t,441600.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311.0,Avocados,2023,2023,ha,33428.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1311.0,Avocados,2023,2023,kg/ha,16222.3,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5510,Production,1311.0,Avocados,2023,2023,t,542277.78,I,Imputed value,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112.0,Maize (corn),2017,2017,ha,2086178.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112.0,Maize (corn),2017,2017,kg/ha,1527.2,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112.0,Maize (corn),2017,2017,t,3186000.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112.0,Maize (corn),2018,2018,ha,2273283.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112.0,Maize (corn),2018,2018,kg/ha,1765.6,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112.0,Maize (corn),2018,2018,t,4013777.44,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112.0,Maize (corn),2019,2019,ha,2296174.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112.0,Maize (corn),2019,2019,kg/ha,1560.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112.0,Maize (corn),2019,2019,t,3582000.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112.0,Maize (corn),2021,2021,ha,2168603.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112.0,Maize (corn),2021,2021,kg/ha,1523.8,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112.0,Maize (corn),2021,2021,t,3304430.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112.0,Maize (corn),2022,2022,ha,2113520.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112.0,Maize (corn),2022,2022,kg/ha,1458.3,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112.0,Maize (corn),2022,2022,t,3082220.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112.0,Maize (corn),2023,2023,ha,2430014.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112.0,Maize (corn),2023,2023,kg/ha,1763.4,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112.0,Maize (corn),2023,2023,t,4285206.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1234.0,Tomatoes,2017,2017,ha,27636.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1234.0,Tomatoes,2017,2017,kg/ha,18351.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,1234.0,Tomatoes,2017,2017,t,507141.81,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1234.0,Tomatoes,2018,2018,ha,28263.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1234.0,Tomatoes,2018,2018,kg/ha,21210.3,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,1234.0,Tomatoes,2018,2018,t,599457.54,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1234.0,Tomatoes,2019,2019,ha,26125.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1234.0,Tomatoes,2019,2019,kg/ha,21739.4,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,1234.0,Tomatoes,2019,2019,t,567940.82,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1234.0,Tomatoes,2021,2021,ha,29629.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1234.0,Tomatoes,2021,2021,kg/ha,23699.6,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,1234.0,Tomatoes,2021,2021,t,702205.1,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1234.0,Tomatoes,2022,2022,ha,28331.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1234.0,Tomatoes,2022,2022,kg/ha,21764.1,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,1234.0,Tomatoes,2022,2022,t,616600.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1234.0,Tomatoes,2023,2023,ha,31072.0,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1234.0,Tomatoes,2023,2023,kg/ha,18746.8,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,1234.0,Tomatoes,2023,2023,t,582500.0,A,Official figure,
